raw_name,canonical_name,raw_count
"Uppsala Universitet, SciLifeLab, och Karolinska Institutet",Karolinska Institutet,1
Kenyatta University,Kenyatta University,1
King's College London,King's College London,5
KCL,King's College London,1
king's college london,King's College London,1
King’s College London,King’s College London,2
Kristiania University of Applied Sciences,Kristiania University of Applied Sciences,1
LUT University,LUT University,1
Linköping universitet,Linköping University,1
Linköping Universite,Linköping University,1
London School of Hygiene and Tropical Medicine,London School of Hygiene & Tropical Medicine,5
London School of Hygiene & Tropical Medicine,London School of Hygiene & Tropical Medicine,4
LSHTM,London School of Hygiene & Tropical Medicine,2
London school of hygiene and tropical medicine,London School of Hygiene & Tropical Medicine,1
london school of hygiene and tropical medicine,London School of Hygiene & Tropical Medicine,1
London school of Hygiene and tropical medicine,London School of Hygiene & Tropical Medicine,1
LMU,Ludwig Maximilian University Munich,1
Lund University,Lund University,3
"Inter Arts Center, Lund University",Lund University,1
Makerere University school of Public Health,Makerere University,1
Makerere University & Avance International University,Makerere University,1
Marine and Freshwater Research Institute,Marine and Freshwater Research Institute,4
Marine and Freshwater Institute - Iceland,Marine and Freshwater Research Institute,1
Marine and Freshwater research Institute,Marine and Freshwater Research Institute,1
MUW,Medical University of Warsaw,1
Metropolia University of Applied Science,Metropolia University of Applied Science,1
Ministry of Health,Ministry of Health,1
MoH,MoH,1
NORCE,NORCE,1
NPHL,NPHL,1
NTNU,NTNU – Norwegian University of Science and Technology,3
National Environment Agency,National Environment Agency,1
"National University of Singapore, Singapore",National University of Singapore,1
LUKE,Natural Resources Institute Finland (LUKE),1
Nicolaus Copernicus University in Toruń,Nicolaus Copernicus University in Toruń,1
Nigeria Centre for Disease Control and prevention,Nigeria Centre for Disease Control and prevention,1
Norwegian Academy of Music,Norwegian Academy of Music,1
Norwegian Institute for Nature Research,Norwegian Institute for Nature Research (NINA),8
NINA,Norwegian Institute for Nature Research (NINA),5
Norsk Institutt for Naturforskning NINA,Norwegian Institute for Nature Research (NINA),1
Norsk institutt for naturforskning (NINA),Norwegian Institute for Nature Research (NINA),1
Norwegian Institute for Nature Research (NINA),Norwegian Institute for Nature Research (NINA),1
nina,Norwegian Institute for Nature Research (NINA),1
Norsk institutt for naturforskning,Norwegian Institute for Nature Research (NINA),1
FHI,Norwegian Institute of Public Health,1
Norwegian Institute of Public Health (Folkehelseinstituttet),Norwegian Institute of Public Health,1
NIPH,Norwegian Institute of Public Health,1
NMBU,Norwegian University of Life Sciences (NMBU),1
OsloMet,OsloMet,5
Oamk,Oulu University of Applied Sciences,1
PAUSTI,PAUSTI,1
Paris School of Business,Paris School of Business,1
Petőfi Sándor Roman Catholic Elementary School and High School,Petőfi Sándor Roman Catholic Elementary School and High School,1
Polytecnic Institute of Porto,Polytecnic Institute of Porto,1
PUC,Pontifical Catholic University,1
"Post graduate from NISER, Bhubaneswar","Post graduate from NISER, Bhubaneswar",1
Programme PAC-CI,Programme PAC-CI,1
Purdue University,Purdue University,1
Qatar university,Qatar University,1
"Queen Mary, University of London","Queen Mary, University of London",1
Queen Mary University of London,"Queen Mary, University of London",1
RWTH Aachen - DWD,RWTH Aachen University,1
Rannis.,Rannis.,1
Rayca Precision (Startup),Rayca Precision (Startup),1
RISE,Research Institutes of Sweden (RISE),1
Reykjavik University,Reykjavik University,2
Reykjavík University,Reykjavik University,1
Roskilde University,Roskilde University,2
Royal College of Surgeons England,Royal College of Surgeons England,1
Ruhr University Bochum,Ruhr University Bochum,1
Sano Centre for Computational Medicine,Sano Centre for Computational Medicine,2
Sano - Centrum Zindywidualizowanej Medycyny Obliczeniowej - Międzynarodowa Fundacja Badawcza,Sano Centre for Computational Medicine,1
"Sano Centre for Computational Medicine, Nawojki 11, 30-072 Krakow",Sano Centre for Computational Medicine,1
Satori,Satori,1
Shahjalal University of Science and Technology,Shahjalal University of Science and Technology,1
Simula Research Laboratory,Simula Research Laboratory,1
Stockholm University,Stockholm University,2
Stockholm university,Stockholm University,2
Strathmore University,Strathmore University,1
Superior University,Superior University,1
Swedish Institute of Space Physics,Swedish Institute of Space Physics,1
SMHI,Swedish Meteorological and Hydrological Institute (SMHI),1
SLU,Swedish University of Agricultural Sciences,1
Swedish University of Agricultural Sciences,Swedish University of Agricultural Sciences,1
TFTAK,TFTAK (Centre of Food and Fermentation Technologies),1
tu delft,TU Delft,1
TU/e - Eindhoven University of Technology,TU Eindhoven,1
TU Ilmenau,TU Ilmenau,1
Tallinn University of Technology,Tallinn University of Technology,1
TalTech,Tallinn University of Technology,1
Tampere University,Tampere University,5
Tampere university,Tampere University,1
DTU,Technical University of Denmark (DTU),40
Technical University of Denmark,Technical University of Denmark (DTU),22
Technical University of Denmark (DTU),Technical University of Denmark (DTU),3
Technical university of Denmark,Technical University of Denmark (DTU),2
Technical University Of Denmark,Technical University of Denmark (DTU),1
DTU Energy,Technical University of Denmark (DTU),1
"Technical University of Denmark, DTU Library",Technical University of Denmark (DTU),1
DTU Biosustain (BRIGHT),Technical University of Denmark (DTU),1
DTU Construct,Technical University of Denmark (DTU),1
BRIGHT,Technical University of Denmark (DTU),1
DTU - Technical University of Denmark,Technical University of Denmark (DTU),1
Technical Universtiy of Denmark (DTU),Technical University of Denmark (DTU),1
DTU Department of Civil and Mechanical Engineering,Technical University of Denmark (DTU),1
dtu,Technical University of Denmark (DTU),1
DTU - Technical university of denmark,Technical University of Denmark (DTU),1
Technical University of Denmark - DTU,Technical University of Denmark (DTU),1
Ceanapse ~ The Technical University of Kenya,Technical University of Kenya,1
